goos: linux
goarch: amd64
pkg: github.com/google/cel-go/cel
cpu: Intel(R) Core(TM) Ultra 5 125H
BenchmarkJit_Jit/rule031-18         	11604783	         9.964 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule032-18         	10613990	        10.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule032-18         	12770754	         9.511 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule032-18         	11885982	         9.266 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule032-18         	11051460	         9.468 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule032-18         	13004686	         9.706 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule032-18         	13887336	         9.042 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule032-18         	11597415	         9.031 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule032-18         	13091342	         9.126 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule033-18         	11114817	        10.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule033-18         	12748173	        10.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule033-18         	 9995899	        11.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule033-18         	12191892	         9.550 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule033-18         	12388383	         8.991 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule033-18         	13086014	         8.972 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule033-18         	12538051	         9.547 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule033-18         	 9345310	        11.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule034-18         	 8727133	        12.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule034-18         	11238859	        12.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule034-18         	10416934	         9.992 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule034-18         	12313543	        11.74 ns/op	       0 B/op	       0 allocs/op
